name;tag;dob;pob;dept_num;dept_ob;region;lat;lon;confidence
Patrick Abate;senat;1956;Métlaoui;;;;;;
Michèle André;senat;1947;Saint-Jacques-d'Ambur;;;;;;
Salah Benacer;senat;1900;Mekla;;;;;;
Stéphane Bonduel;senat;1919;Pékin;;;;;;
Patrick Boré;senat;1956;Toulon;;;;;;
Nicole Bricq;senat;1947;La Rochefoucauld;;;;;;
Louis Brives;senat;1912;Assier;;;;;;
Alain Chatillon;senat;1943;Revel;;;;;;
Lionel Cherrier;senat;1929;Nakéty;;;;;;
Auguste Chupin;senat;1919;Chemillé;;;;;;
Jean Collery;senat;1922;Aÿ;;;;;;
Marta de Cidrac;senat;1964;Bankya;;;;;;
Louis-Jean de Nicolaÿ;senat;1949;Le Mans;;;;;;
Luc Dejoie;senat;1931;Nantes;;;;;;
Gaston Flosse;senat;1931;Rikitea;;;;;;
Joëlle Garriaud-Maylam;senat;1955;Maghnia;;;;;;
Adrien Giraud;senat;1936;Dzoumogné;;;;;;
Jacques Golliet;senat;1931;Annecy;;;;;;
Gérard Le Cam;senat;1954;Plussulien;;;;;;
Jacques Maury;senat;1908;Le Mans;;;;;;
Georges Mazars;senat;1934;Mirandol-Bourgnounac;;;;;;
Pierre Médevielle;senat;1960;Saint-Laurent-de-Neste;;;;;;
Mohamed Megdoud;senat;1908;Beni Amrane;;;;;;
Akli Mellouli;senat;1959;Souk El Ténine;;;;;;
Eugène Motte;senat;1910;Roubaix;;;;;;
Arthur Moulin;senat;1924;Saint-Aubin;;;;;;
Jacques Moulinier;senat;1938;Lyon 2;;;;;;
Albert Pen;senat;1931;Dartmouth;;;;;;
Alain Peyrefitte;senat;1925;Najac;;;;;;
Jean-Claude Peyronnet;senat;1940;Châlus;;;;;;
Alfred Poroi;senat;1906;Mataiea;;;;;;
Claude Prouvoyeur;senat;1927;Estourmel;;;;;;
Hervé Reynaud;senat;1972;Saint-Chamond;;;;;;
Martial Taugourdeau;senat;1926;Beaufort-en-Vallée;;;;;;
Paul Vergès;senat;1925;Ubon Ratchathani;;;;;;
Hector Viron;senat;1922;Lille;;;;;;
Henri Weber;senat;1944;Khodjent;;;;;;