name;tag;dob;pob;dept_ob;dep_num;region;lat;lon;confidence;id
Michel Françaix;depute;1943;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;3117
Jean, Constant Legendre;depute;1906;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;7709
Marcel Dassault;depute;1892;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;2147
Sylvia Bassot;depute;1940;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;467
Hubert Bassot;depute;1932;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;466
Francis Geng;depute;1931;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;3339
Pierre Noal;depute;1914;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;5559
Emile Janvier;depute;1900;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;3996
Céline Hervieu;depute;1993;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;19946
David Amiel;depute;1992;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19558
Sarah Legrain;depute;1985;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.459;19706
Benjamin Haddad;depute;1985;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19674
Mounir Mahjoubi;depute;1984;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;19260
Stanislas Guerini;depute;1982;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19184
Clément Beaune;depute;1981;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19572
Julien Bayou;depute;1980;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19571
Olivia Grégoire;depute;1978;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19180
Pascal Cherki;depute;1966;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.459;18389
Emmanuelle Hoffman;depute;1964;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.459;20023
Véronique Carrion-Bastok;depute;1963;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1469
Laurent Dominati;depute;1960;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2541
Jean-François Lamour;depute;1956;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;17336
Jean-Marie Le Guen;depute;1953;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;7589
Danièle Hoffman-Rispal;depute;1951;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;10697
Marielle De Sarnez;depute;1951;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;19375
Jean-Paul Planchou;depute;1948;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5969
Michel Charzat;depute;1942;Paris 20;Paris;75;Île-de-France;48.863311767578125;2.3996946811676025;0.473;1689
Alain Billon;depute;1942;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;811
Gisèle Moreau;depute;1941;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;5405
René Béguet;depute;1939;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;574
Tony Dreyfus;depute;1939;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;2588
Jean Tiberi;depute;1935;Paris 5;Paris;75;Île-de-France;48.8465576171875;2.3515963554382324;0.473;7071
Roger Chinaud;depute;1934;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;1796
Claude-Gérard Marcus;depute;1933;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;4985
Henri Modiano;depute;1932;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;5319
Lionel Assouad;depute;1930;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;219
Claude Martin;depute;1930;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;5035
Robert Calméjane;depute;1929;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;1382
Serge Boucheny;depute;1929;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;1007
Jacques Mer;depute;1927;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;5187
Hélène Missoffe;depute;1927;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;5308
Michel Caldaguès;depute;1926;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;1374
Gilbert Noël;depute;1926;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;5565
Philippe, Pierre, Jules, Eugène, Charles Vayron;depute;1926;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;7214
Claude Estier;depute;1925;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;2854
Gilbert Gantier;depute;1924;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;3243
Pierre Remond;depute;1924;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;6667
Louis Baillot;depute;1924;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;340
Georges Bourriquet;depute;1923;Paris 19;Paris;75;Île-de-France;48.88661575317383;2.384809970855713;0.473;1105
Jacques Marette;depute;1922;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;4989
Michel Marquet;depute;1921;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;5020
Georges, Henri, Paul Germain;depute;1920;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;3375
Hubert Germain;depute;1920;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;3377
Bernard Rocher;depute;1920;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;6036
Monique Tisné;depute;1920;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;7086
Michel Peytel;depute;1919;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;5872
Maurice, Georges Nilès;depute;1919;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;5554
Gabriel Kaspereit;depute;1919;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;4117
Maurice Druon;depute;1918;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;2603
Jean-Claude Servan-Schreiber;depute;1918;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;6806
Joël Le Tac;depute;1918;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;7625
Raymond Colibeau;depute;1917;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;1892
Michel Junot;depute;1916;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;4103
Daniel Dreyfous-Ducas;depute;1914;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;2586
Michel, Alfred Maurice-Bokanowski;depute;1912;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;5127
Marie-Claude Vaillant-Couturier Née Vogel;depute;1912;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;7202
Bernard Lepeu;depute;1910;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;7783
René Sanson;depute;1910;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;6279
Bernard Duperier;depute;1907;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;2712
Pierre, Armand, Gaston Billotte;depute;1906;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;813
Pierre Ferri;depute;1904;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;2978
Jean Albert-Sorel;depute;1902;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;73
Edouard Frédéric-Dupont;depute;1902;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;3144
Raymond Bousquet;depute;1899;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;1114
Edmond Pezé;depute;1897;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;5875
Agnès Pannier-Runacher;depute;1974;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;19984
Catherine Genisson;depute;1949;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;3341
Louis Giscard d'Estaing;depute;1958;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;10619
Renaud Gauquelin;depute;1954;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19443
Jean-Claude Bahu;depute;1941;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;336
Jean-Pierre Reveau;depute;1932;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;6692
Emmanuel Hamel;depute;1922;Paris 5;Paris;75;Île-de-France;48.8465576171875;2.3515963554382324;0.473;3737
Jacques-Philippe Vendroux;depute;1923;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.459;7319
Henry Le Besnerais;depute;1921;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;7545
Fabienne Labrette-Ménager;depute;1961;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;17334
Raymond Douyère;depute;1939;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2578
Michel d'Aillières;depute;1923;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;53
Jean-François Coulomme;depute;1966;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19617
Louis Margueritte;depute;1984;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19724
Éric Michoux;depute;1959;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19979
André Gentien;depute;1938;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;3344
Pierre Joxe;depute;1934;Paris 1;Paris;75;Île-de-France;48.863826751708984;2.3342583179473877;0.473;4082
Philippe Malaud;depute;1925;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;4918
Florence Herouin-Léautey;depute;1972;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19944
Frédérique Bredin;depute;1956;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1189
Pierre Léautey;depute;1946;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;18571
Laurent Fabius;depute;1946;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;2876
Dominique Chaboche;depute;1937;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;1592
Marc Massion;depute;1935;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5080
Olivier de Sarnez;depute;1927;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;6292
Colette Privat;depute;1925;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;6508
Roger, Armand Dusseaulx;depute;1913;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;2786
Raymond Offroy;depute;1909;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;5597
Fatiha Keloua Hachi;depute;1971;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19687
Pascal Popelin;depute;1967;Paris 19;Paris;75;Île-de-France;48.88661575317383;2.384809970855713;0.459;18501
Sabine Rubin;depute;1960;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19366
Alain Ramadier;depute;1958;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19346
Eric Raoult;depute;1955;Paris 19;Paris;75;Île-de-France;48.88661575317383;2.384809970855713;0.473;6601
Bernard Birsinger;depute;1954;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;825
Patrick Braouezec;depute;1950;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1178
Pierre Zarka;depute;1948;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;7354
Véronique Neiertz;depute;1942;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5524
Jacques Mahéas;depute;1939;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;4894
Paulette Fost;depute;1937;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;3068
Gilbert Bonnemaison;depute;1930;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;944
Jacqueline Chonavel;depute;1924;Paris 5;Paris;75;Île-de-France;48.8465576171875;2.3515963554382324;0.473;1809
Claude Fuzier;depute;1924;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;10618
Raymond Valenet;depute;1912;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;7315
Franck Riester;depute;1974;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.459;17373
Emeric Bréhier;depute;1971;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;18370
Frédéric Valletoux;depute;1966;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.459;19822
Guy Geoffroy;depute;1949;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;10681
Chantal Brunel;depute;1948;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;10641
Jacques Heuclin;depute;1946;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;3832
Gérard Jeffray;depute;1943;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;4026
Didier Julia;depute;1934;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;4093
Bertrand Flornoy;depute;1910;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;3036
William Martinet;depute;1988;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19730
Aurore Bergé;depute;1986;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.459;19036
Jean-Noël Barrot;depute;1983;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.459;19026
Pascal Thévenot;depute;1966;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19473
Jacques Masdeu-Arus;depute;1942;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;5066
Colette, Marie, Françoise Le Moal Née Amicel;depute;1932;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;17624
André Damien;depute;1930;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;2116
Jean Riquin;depute;1925;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;6788
Yves Le Coat de Kerveguen;depute;1925;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.459;4137
René Ribière;depute;1922;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;6726
Georges-Paul, Marie Wagner;depute;1921;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;7406
Bernard Destremau;depute;1917;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;2460
Pierre Picard;depute;1910;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;5901
Jacqueline Thome-Patenôtre;depute;1906;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;7054
Michel Jamot;depute;1904;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;3988
René Leduc;depute;1901;Paris 18;Paris;75;Île-de-France;48.8870221;2.3478318;0.473;7680
Jean-Paul Palewski;depute;1898;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;5659
Ingrid Dordain;depute;1978;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19868
Jacques Fleury;depute;1941;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;3028
Charles, Henry Bignon;depute;1921;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;797
Emile Luciani;depute;1913;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;4847
Bernard Carayon;depute;1957;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1432
Guillaume Bigot;depute;1969;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19899
Romain Eskenazi;depute;1986;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19926
Jérôme Chartier;depute;1966;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;10644
Alain Richard;depute;1945;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;6731
Jean Bardet;depute;1941;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;397
Robert Montdargent;depute;1934;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;5372
Raymond Lamontagne;depute;1923;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;4315
Michel, Casimir Poniatowski;depute;1922;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;6415
Solange Troisier;depute;1919;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;7160
Claude Weber;depute;1919;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;7348
Nicolas Tryzna;depute;1987;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;20055
Vincent Jeanbrun;depute;1984;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19949
Sandrine Lalanne;depute;1973;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;20053
Maud Petit;depute;1971;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.459;19324
Henri Plagnol;depute;1961;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5963
Jean-Luc Laurent;depute;1957;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;18456
Gilles Carrez;depute;1948;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1466
Pierre Gosnat;depute;1948;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;17316
Jean-Claude Lefort;depute;1944;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;7702
Maxime Kalinsky;depute;1931;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;4112
Jean-Louis Beaumont;depute;1925;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;534
Alain Griotteray;depute;1922;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;3590
Aymeric Simon-Lorière;depute;1944;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;6846
Daniel Colin;depute;1933;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;1895
Mario Bénard;depute;1932;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;604
René-Georges Laurin;depute;1921;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;7512
Dominique Taddei;depute;1938;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;6933
Philippe Latombe;depute;1975;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.459;19230
Patricia Gallerneau;depute;1954;Paris 20;Paris;75;Île-de-France;48.863311767578125;2.3996946811676025;0.473;19164
Lionel de Tinguy du Pouët;depute;1911;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;7079
Julien Odoul;depute;1985;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19752
Sophie-Laurence Roy;depute;1955;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19997
Astrid Panosyan-Bouvet;depute;1971;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.97;19758